Details,NIC Codes
Bread cooking,"56102: Cafeterias, fast-food restaurants and other food preparation in market stalls
10711: Manufacture of bread
56301: Bars and Restaurants with bars
47211: Retail sale of cereals and pulses, tea, coffee, spices and flour
85494: Motor driving school (non-professional)"
Prodction of biskit,"63121: Operation of web sites that use a search engine to generate and maintain extensive databases of internet addresses and content in an easily searchable format
47214: Retail sale of bakery products, dairy products and eggs
10712: Manufacture of biscuits, cakes, pastries, rusks etc.
10617: Manufacture of flour mixes and prepared blended flour and dough for bread, cakes, biscuits
46304: Wholesale of confectionery, bakery products and beverages other than intoxicants"
refined sugar from sugarcane,"46208: Wholesale of sugarcane
01140: Growing of sugar cane
10729: Manufacture of sugar from other sources (juice of palm, suger beet etc.)
10724: Manufacture of `khandsari' sugar from sugarcane
10721: Manufacture or refining of sugar (sucrose) from sugercane"
Kulfi Wala,"10505: Manufacture of ice-cream, kulfi etc.
56103: Ice cream mobile vendors, mobile food carts
56302: Tea/coffee shops
10739: Manufacture of other cocoa, chocolate, sugar confectionery products n.e.c.
46306: Wholesale of tea, coffee & cocoa"
Making of `gur’ not from sugarcane,"10722: Manufacture of `gur' from sugarcane
10723: Manufacture of `gur' from other than sugarcane
46208: Wholesale of sugarcane
10726: Manufacture of `boora' and candy from sugarcane
10724: Manufacture of `khandsari' sugar from sugarcane"
Chocelate and confectionary production,"46304: Wholesale of confectionery, bakery products and beverages other than intoxicants
10732: Manufacture of chocolate and chocolate confectionery
10739: Manufacture of other cocoa, chocolate, sugar confectionery products n.e.c.
10712: Manufacture of biscuits, cakes, pastries, rusks etc.
10504: Manufacture of cream, butter, cheese, curd, ghee, khoya etc."
"Production of noodles, pasta, and Momos","28254: Manufacture of machinery for the bakery industry or for making macaroni, noodles, pasta etc.
10740: Manufacture of macaroni, noodles, couscous and similar farinaceous products
10799: Other semi-processed, processed or instant foods n.e.c. except farinaceous products and malted foods and manufacturing activities like manufacture of egg powder, sambar powder etc. (this excludes the
12008: Manufacture of pan masala and related products.
63121: Operation of web sites that use a search engine to generate and maintain extensive databases of internet addresses and content in an easily searchable format"
Manufacturing of ready-to-eat meals,"25129: Manufacture of other containers n.e.c.
10750: Manufacture of prepared meals and dishes
22203: Manufacture of plastic articles for the packing of goods (plastic bags, sacks, containers, boxes, cases, carboys, bottles etc.)
25992: Manufacture of containers such as tins and cans for food products and boxes
22205: Manufacture of travel goods of plastics (suitcase, vanity bags, holdalls and similar articles)"
making of instant chai,"10791: Processing and blending of tea including manufacture of instant tea
01271: Growing of tea
28259: Manufacture of other machinery for the industrial preparation or manufacture of food or drink n.e.c. (including tea or coffee making machines)
46306: Wholesale of tea, coffee & cocoa
56302: Tea/coffee shops"
Spice grinding and procesing,"10795: Grinding and processing of spices
01284: Growing of perennial and non-perennial spices and aromatic crops (pepper, capsicum, nutmeg, mace, anise, badian and fennel, cinnamon (canella), cloves, vanilla and other spices and aromatic crops)
10792: Coffee curing, roasting, grinding blending etc. and manufacturing of coffee products
46305: Wholesale of edible oils, fats, sugar and processed/manufactured spices etc.
46309: Wholesale of other basic/manufactured food stuffs n.e.c."
Manufacture of other dairy products,"10504: Manufacture of cream, butter, cheese, curd, ghee, khoya etc.
10509: Manufacture of other dairy products n.e.c.
10799: Other semi-processed, processed or instant foods n.e.c. except farinaceous products and malted foods and manufacturing activities like manufacture of egg powder, sambar powder etc. (this excludes the
28251: Manufacture of machinery for the dairy industry
10503: Manufacture of baby milk foods"
Production of vegetable oils,"10402: Manufacture of vegetable oils and fats excluding corn oil
10409: Manufacture of other vegetable oil, animal oil and fats n.e.c
46610: Wholesale of solid, liquid and gaseous fuels and related products
10403: Manufacture of edible animal oils and fats
46305: Wholesale of edible oils, fats, sugar and processed/manufactured spices etc."
Making of Cow food,"47213: Retail sale of meat, meat products, poultry products, fish, other seafood and products thereof
47219: Retail sale of other food products n.e.c.
47214: Retail sale of bakery products, dairy products and eggs
47734: Retail sale of flowers, plants, pet animals and pet food
47737: Retail sale of seeds, fertilizers, pesticides, machinery equipments and hand tools"
making of murgi daana,"01462: Production of eggs
12008: Manufacture of pan masala and related products.
10504: Manufacture of cream, butter, cheese, curd, ghee, khoya etc.
10712: Manufacture of biscuits, cakes, pastries, rusks etc.
46303: Wholesale of meat, fish & eggs"
Soft drink manufacturing,"11045: Manufacture of soft drinks
56304: Mobile beverage vendors
11012: Manufacture of country liquor
11031: Manufacture of beer
11041: Manufacture of aerated drinks"
Making of Nimbu Paani,"01233: Growing of lemons and lime
12007: Manufacture of catechu(katha) and chewing lime
10305: Manufacture of sauces, jams, jellies and marmalades
10504: Manufacture of cream, butter, cheese, curd, ghee, khoya etc.
10750: Manufacture of prepared meals and dishes"
Making of Jigarthanda,"71100: Architectural and engineering activities and related technical consultancy
59111: Production of motion picture
90009: Other creative arts and entertainment activities
47738: Activities of commercial art galleries
01139: Growing of vegetables, n.e.c."""
Making of Thandai,"11011: Manufacture of distilled, potable, alcoholic beverages such as whisky, brandy, gin, """"mixed drinks"""" etc.
11045: Manufacture of soft drinks
11041: Manufacture of aerated drinks
21003: Manufacture of `ayurvedic' or `unani' pharmaceutical preparation
10618: Manufacture of other readymade mixed powders like idli, gulabjamun etc."
Making of Wine,"11031: Manufacture of beer
11020: Manufacture of wines
11011: Manufacture of distilled, potable, alcoholic beverages such as whisky, brandy, gin, """"mixed drinks"""" etc.
11032: Manufacture of malt liquors other than beer
46308: Wholesale of intoxicants like wines and liquors"
Making of Gutkha Khaini,"16296: Manufacture of articles made of palm leaf, dhak leaf, screw-pine leaf and khajoor leaf;articles of vegetables fibre etc,.
10504: Manufacture of cream, butter, cheese, curd, ghee, khoya etc.
10712: Manufacture of biscuits, cakes, pastries, rusks etc.
10621: Manufacture of starches from rice, potatoes, maize etc.
10750: Manufacture of prepared meals and dishes"
Cotton fiber spinning and yarn production,"28261: Manufacture of machinery for preparation of textile fibers, spinning machines, machines for preparing textile yarns, weaving machines (looms), including hand looms, knitting machines
13121: Weaving, manufacture of cotton and cotton mixture fabrics.
13122: Weaving, manufacture of silk and silk mixture fabrics.
46695: Wholesale of textile fibres etc.
28263: Manufacture of machinery for washing, bleaching, dyeing, dressing, finishing coating or impregnating textile fabrics, machines for reeling, unreeling, folding, cutting or pinking textile fabrics, and"
Silk fabric weaving,"13122: Weaving, manufacture of silk and silk mixture fabrics.
13132: Finishing of silk and blended silk textiles.
28261: Manufacture of machinery for preparation of textile fibers, spinning machines, machines for preparing textile yarns, weaving machines (looms), including hand looms, knitting machines
13121: Weaving, manufacture of cotton and cotton mixture fabrics.
14101: Manufacture of all types of textile garments and clothing accessories"
Making fof Dari,"10509: Manufacture of other dairy products n.e.c.
01412: Production of milk from cows or buffaloes
46302: Wholesale of raw milk & dairy products
28251: Manufacture of machinery for the dairy industry
10739: Manufacture of other cocoa, chocolate, sugar confectionery products n.e.c."
Rope and cord manufacturing,"13949: Manufacture of other cordage or rope n.e.c.
13944: Manufacture of rope and cordage made of synthetic material
13943: Manufacture of cordage or rope made of coir
13942: Manufacture of cordage or rope made of jute
28170: Manufacture of office machinery and equipment"
Production of knitted garments,"14301: Manufacture of knitted or crocheted wearing apparel and other made-up articles directly into shape (pullovers, cardigans, jerseys, waistcoats and similar articles)
13919: Manufacture of other knitted and crocheted fabrics
14309: Manufacture of other knitted and crocheted apparel including hosiery
13912: Manufacture of knitted and crocheted woolen fabrics
13913: Manufacture of knitted and crocheted synthetic fabrics"
Leather footwear manufacturing,"15201: Manufacture of leather footwear such as shoes, sandals, chappals, leather-cum-rubber/plastic cloth sandles and chappals
95230: Repair of footwear and leather goods
46413: Wholesale of footwear
15209: Manufacture of other footwear n.e.c.
14104: Manufacture of wearing apparel made of leather and substitutes of leather"
making of prefabricated wooden roof support,"16221: Manufacture of structural wooden goods [intended to be used primarily in the construction industry such as beams, rafters, roof struts, glue-laminated and metal connected, prefabricated wooden roof tr
16222: Manufacture of prefabricated buildings, or elements thereof, predominantly of wood
25112: Manufacture of metal frameworks or skeletons for construction and parts thereof ((towers, masts, trusses, bridges etc.)
25939: Manufacture of general hardware (saws and saw-blades, including circular saw-blades and chainsaw blades, moulding boxes, vices, clamps etc.)
41003: Assembly and erection of prefabricated constructions on the site"
Paper and pulp manufacturing,"17011: Manufacture of pulp
28291: Manufacture of machinery for making paper pulp, paper, paperboard and articles of paper board
17099: Manufacture of other paper products n.e.c.
17094: Manufacture of paper pulp articles other than containers (such as egg trays)
17029: Manufacture of other containers of paper and paperboard n.e.c."
publish newspaper,"58131: Publishing of newspapers
58132: Publishing of journals and periodicals
58199: Other publishing activities (including on-line) n.e.c.
90005: Activities of independent journalists
18111: Printing of newspapers"
Refining and processing petroleum products,"19201: Production of liquid and gaseous fuels, illuminating oils, lubricating oils or greases or other products from crude petroleum or bituminous minerals
46610: Wholesale of solid, liquid and gaseous fuels and related products
35202: Distribution and sale of gaseous fuels through mains
47736: Retail sale of household fuel oil, bottled gas, coal and fuel wood
47300: Retail sale of automotive fuel in specialized stores [includes the activity of petrol filling stations."
Fertilizer manufacturing,"20129: Manufacture of other fertilizers n.e.c.
46692: Wholesale of fertilizers and agrochemical products
20121: Manufacture of urea and other organic fertilizers
20122: 	Manufacture of straight mixed, compound or complex inorganic fertilizers
46539: Wholesale of other agriculture machinery n.e.c."
Production of pesticides,"20129: Manufacture of other fertilizers n.e.c.
46692: Wholesale of fertilizers and agrochemical products
20211: Manufacture of insecticides, rodenticides, fungicides, herbicides
47737: Retail sale of seeds, fertilizers, pesticides, machinery equipments and hand tools
28213: Manufacture of spraying machinery for agricultural use"
Paint and varnish manufacturing,"20221: Manufacture of paints and varnishes, enamels or lacquers
46634: Wholesale of paints, varnishes, and lacquers
47522: Retail sale of hardware including paints, varnishes and lacquers and do-it-yourself materials and equipments
20224: Manufacture of prepared pigments and other colouring matter of a kind used in the manufacture of paints or by artists or other painters
31009: Manufacture of other furniture n.e.c."
making of saabun,"20231: Manufacture of soap all forms
20233: Manufacture of detergent and similar washing agents excluding soap
10504: Manufacture of cream, butter, cheese, curd, ghee, khoya etc.
10622: Manufacture of sago and sago products
20232: Manufacture of cleaning and polishing products (preparations for perfuming or deodorizing rooms; artificial waxes and prepared waxes; polishes and creams for leather, wood, glass, metal etc.; scouring"
Plastic products,"22203: Manufacture of plastic articles for the packing of goods (plastic bags, sacks, containers, boxes, cases, carboys, bottles etc.)
22205: Manufacture of travel goods of plastics (suitcase, vanity bags, holdalls and similar articles)
25129: Manufacture of other containers n.e.c.
22209: Manufacture of other plastics products n.e.c.
25992: Manufacture of containers such as tins and cans for food products and boxes"
Glassware and glass product manufacturing,"23109: Manufacture of other glassware/glass products: articles of glass used in construction such as glass blocks; clock or watch glasses, optical glass and optical glass elements not optically worked; and o
23104: Manufacture of laboratory or pharmaceutical glassware
23105: Manufacture of table or kitchen glassware
46492: Wholesale of metal, porcelain and glass utensils; crockery and chinaware
23103: Manufacture of hollow glassware (bottles, jars etc.) for the conveyance or packing of goods"
Cement manufacturing,"23959: Manufacture of other cement and asbestos cement products n.e.c.
23949: Manufacture of other cement and plaster n.e.c.
23941: Manufacture of clinkers and cement
23942: Manufacture of portland cement, aluminous cement, slag cement and similar hydraulic cement
23943: Manufacture of asbestos cement"
Brick and tile manufacturing,"23921: Manufacture of bricks
23954: Manufacture of R.C.C. bricks and blocks
46307: Wholesale of manufactured tobacco & tobacco products
46639: Wholesale of other construction equipment n.e.c.
46632: Wholesale of construction materials (sand, gravel etc.)"
Metal furniture production,"31003: Manufacture of furniture primarily of metal
47591: Retail sale of household furniture
95240: Repair of furniture and home furnishings
31004: Manufacture of furniture primarily of plastic
46493: Wholesale of furniture and fixtures"
Battery manufacturing,"27101: Manufacture of power generators (except battery charging alternators for internal combustion engines), motor generator sets (except turbine generator set units)
27201: Manufacture of primary cells and primary batteries and rechargeable batteries, cells containing manganese oxide, mercuric oxide silver oxide or other material
27501: Manufacture of domestic electric appliances such as refrigerators, washing machines, vacuum cleaners, mixers, grinders etc.
29304: Manufacture of motor vehicle electrical equipment, such as generators, alternators, spark plugs,ignition wiring harnesses, power window and door systems, assembly of purchased gauges into instrument p
29102: Manufacture of commercial vehicles such as vans, lorries, over-the-road tractors for semi-trailers etc."
Make Chowmin,"47219: Retail sale of other food products n.e.c.
56102: Cafeterias, fast-food restaurants and other food preparation in market stalls
46309: Wholesale of other basic/manufactured food stuffs n.e.c.
47734: Retail sale of flowers, plants, pet animals and pet food
47211: Retail sale of cereals and pulses, tea, coffee, spices and flour"
Make Manchurian using Cabbage,"01131: Growing of asparagus, cabbages, cauliflower, broccoli, lettuce, chicory, spinach and other leafy or stem vegetables
01139: Growing of vegetables, n.e.c.""
01134: Growing of carrots, beets,turnips, garlic, leeks and other root, bulb vegetables(onion excluded)
10304: Manufacture of fruit or vegetable juices and their concentrates, squashes and powder
01132: Growing of cucumbers, gherkins, aubergines, tomatoes, watermelons, cantaloupes , melons and other fruit-bearing vegetables"
Make Egg Omellette,"47214: Retail sale of bakery products, dairy products and eggs
47211: Retail sale of cereals and pulses, tea, coffee, spices and flour
10616: Manufacture of cereal breakfast foods obtained by roasting or swelling cereal grains
46303: Wholesale of meat, fish & eggs
10617: Manufacture of flour mixes and prepared blended flour and dough for bread, cakes, biscuits"
Sell Tomato Soup,"63121: Operation of web sites that use a search engine to generate and maintain extensive databases of internet addresses and content in an easily searchable format
10711: Manufacture of bread
28254: Manufacture of machinery for the bakery industry or for making macaroni, noodles, pasta etc.
47211: Retail sale of cereals and pulses, tea, coffee, spices and flour
10799: Other semi-processed, processed or instant foods n.e.c. except farinaceous products and malted foods and manufacturing activities like manufacture of egg powder, sambar powder etc. (this excludes the"
Paneer Making,"12008: Manufacture of pan masala and related products.
28269: Manufacture of other machinery for textiles, apparel and leather production n.e.c.
28252: Manufacture of machinery for the grain milling industry
28246: Manufacture of parts and accessories for machinery/equipment used by construction and mining industries
28254: Manufacture of machinery for the bakery industry or for making macaroni, noodles, pasta etc."
Sell Tomato,"47612: Retail sale of newspapers and magazines
47219: Retail sale of other food products n.e.c.
63121: Operation of web sites that use a search engine to generate and maintain extensive databases of internet addresses and content in an easily searchable format
47211: Retail sale of cereals and pulses, tea, coffee, spices and flour
46209: Whole sale of other agriculture raw materials n.e.c."
Make Aluminium and Copper Wires,"27320: Manufacture of other electronic and electric wires and cables (insulated wire and cable made of steel, copper, aluminium)
25993: Manufacture of metal cable and other articles made of wire (except for electric transmission)
27900: Manufacture of other electrical equipment
27339: Manufacture of other wiring devices and fittings n.e.c.
26106: Manufacture of printer cables, monitor cables, USB cables, connectors etc."
